Artist Name,Followers,Image URL,bio,key
Ariana Grande,104287151,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,"Ariana Grande-Butera (  AR-ee-AH-nə GRAHN-day byuu-TAIR-ə; born June 26, 1993) is an American singer, songwriter, and actress. Regarded as a pop icon and an influential figure in popular music, Grande is known for her four-octave vocal range, which extends into the whistle register.
Grande began her career as a teenage actress by appearing in the Broadway musical 13 (2008), and rose to fame as Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and its spin-off series Sam &... (wikipedia)",arianagrande
Arsy Widianto,940296,https://i.scdn.co/image/ab6761610000e5ebcfbb23382ea9a0dfbd371077,No Wikipedia page found for Arsy Widianto... (wikipedia),arsywidianto
Ava Max,7392935,https://i.scdn.co/image/ab6761610000e5ebde0f96585c65bb764ee81b67,"Amanda Ava Koçi (born Amanda Koçi; February 16, 1994), known professionally as Ava Max ( AY-və), is an American singer-songwriter. She rose to prominence in 2018 with the release of her breakthrough single ""Sweet but Psycho"". The song peaked at number one in 22 countries and reached number two and number 10 on the Australian ARIA Charts and US Billboard Hot 100, respectively.
In March 2020, Max released the song, ""Kings & Queens"", which peaked at number 13 on the Billboard Hot 100 and at number... (wikipedia)",avamax
Ayu Ting Ting,428051,https://i.scdn.co/image/ab6761610000e5ebde5faf5f15ea3cb20e14b5ad,"Ayu Rosmalina (born (1992-06-20)June 20, 1992), better known by her stage name Ayu Ting Ting, is an Indonesian singer and presenter. One of Indonesian dangdut divas, she rose to fame following the sudden virality of her song ""Alamat Palsu"" (""Fake Address"") in 2011. Her stage name ""Ting Ting"" means ""virgin"" in Indonesian... (wikipedia)",ayutingting
BIGBANG,5618351,https://i.scdn.co/image/ab6761610000e5eb597a4257d0022e2ac837fa7d,"BigBang (Korean: 빅뱅; stylized in all caps) is a South Korean boy band formed by YG Entertainment. The group consists of three members: G-Dragon, Taeyang, and Daesung. Originally a five-piece band, Seungri retired from the entertainment industry in March 2019 and T.O.P left in May 2023. Dubbed the ""Kings of K-pop"", they helped spread the Korean Wave internationally and are considered one of the most influential acts in K-pop. They are known for their trendsetting musical experimentation, self-pro... (wikipedia)",bigbang
BLACKPINK,53256751,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c,"Blackpink (Korean: 블랙핑크; RR: Beullaekpingkeu, stylized in all caps or as BLɅϽKPIИK) is a South Korean girl group formed by YG Entertainment. The group is composed of four members: Jisoo, Jennie, Rosé, and Lisa. Regarded by various publications as the ""biggest girl group in the world"", they are recognized as a leading force in the Korean Wave and an ambassador of the ""girl crush"" concept in K-pop, which explores themes of self-confidence and female empowerment.
Blackpink debuted in August 2016 wi... (wikipedia)",blackpink
BOYNEXTDOOR,1299073,https://i.scdn.co/image/ab6761610000e5ebcfdb5b7a40a359345dc49270,No Wikipedia page found for BOYNEXTDOOR... (wikipedia),boynextdoor
BTOB,1541775,https://i.scdn.co/image/ab6761610000e5eb09336dcd62a6e91e49e0a0f4,"BtoB ( BEE-too-bee; Korean: 비투비; acronym for  Born to Beat; often stylized in all caps) is a South Korean boy band formed in 2012 by Cube Entertainment. The group consists of Seo Eun-kwang, Lee Min-hyuk, Lee Chang-sub, Im Hyun-sik, Peniel Shin and Yook Sung-jae. Originally a septet, Jung Il-hoon departed from the group on December 31, 2020.
BtoB debuted on March 21, 2012, performing ""Insane"" (비밀) and ""Imagine"" on M Countdown. The group's debut EP, Born to Beat was released on April 3, 2012. They... (wikipedia)",btob
BTS,78230216,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a,"BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan; lit. Bulletproof Boy Scouts), also known as the Bangtan Boys, is a South Korean boy band formed in 2010. The band consists of Jin, Suga, J-Hope, RM, Jimin, V, and Jung Kook, who co-write or co-produce much of their material. Originally a hip hop group, they expanded their musical style to incorporate a wide range of genres, while their lyrics have focused on subjects including mental health, the troubles of school-age youth and coming of age, loss, the... (wikipedia)",bts
Bad Bunny,92490864,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"Benito Antonio Martínez Ocasio (Spanish: [beˈnito anˈtonjo maɾˈtines oˈkasjo]; born March 10, 1994), better known by his stage name Bad Bunny, is a Puerto Rican rapper and singer. Known as the ""King of Latin Trap"", Bad Bunny is credited with helping Spanish-language rap music achieve mainstream popularity in the worldwide market and is considered one of the best Latin rappers of all time. He became the first non-English language American artist to be Spotify's most streamed artist of the year, d... (wikipedia)",badbunny
Bastille,5638890,https://i.scdn.co/image/ab6761610000e5eba2d481cc638c0edd452b4abd,"The Bastille (, French: [bastij] ) was a fortress in Paris, known as the Bastille Saint-Antoine. It played an important role in the internal conflicts of France and for most of its history was used as a state prison by the kings of France. It was stormed by a crowd on 14 July 1789, in the French Revolution, becoming an important symbol for the French Republican movement. It was later demolished and replaced by the Place de la Bastille.
The castle was built to defend the eastern approach to the c... (wikipedia)",bastille
Benson Boone,5019167,https://i.scdn.co/image/ab6761610000e5eb9a39ecd2481c38174aa36260,"Benson James Boone (born June 25, 2002) is an American singer-songwriter. Born and raised in Monroe, Washington, he began his music career when he filled in for a friend at a talent show. Boone appeared on American Idol in early 2021, where he briefly competed before withdrawing voluntarily. He continued to gain popularity on TikTok and subsequently signed a contract with Night Street Records.
Boone's debut single, ""Ghost Town"", was released in October 2021 and charted in 16 countries. Boone has... (wikipedia)",bensonboone
Bernadya,5281773,https://i.scdn.co/image/ab6761610000e5eb6d1dbc1a4a286b1ee9d40163,"Bernadya Ribka Jayakusuma (born 16 March 2004), known mononymously as Bernadya, is an Indonesian singer-songwriter. She released her debut studio album, Sialnya, Hidup Harus Tetap Berjalan in 2024 to commercial and critical success. She won three Anugerah Musik Indonesia awards from six nominations, including Album of the Year... (wikipedia)",bernadya
Beyoncé,39877781,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0,"Beyoncé Giselle Knowles-Carter (  bee-ON-say; born September 4, 1981) is an American singer, songwriter, actress, and businesswoman. With a career spanning over three decades, she has established herself as one of the most significant figures of the 21st century through her vocal ability, musical versatility, live performances, and culturally important works. Credited with revolutionizing the sound of popular music, Beyoncé is often deemed one of the most influential artists of all time. Time na... (wikipedia)",beyoncé
Billie Eilish,108906112,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,"Billie Eilish Pirate Baird O'Connell ( EYE-lish; born December 18, 2001) is an American singer-songwriter and musician. She first gained public attention in 2015 with her debut single ""Ocean Eyes"", written and produced by her brother Finneas O'Connell, with whom she collaborates on music and live shows. In 2017, she released her debut extended play (EP), Don't Smile at Me. Commercially successful, it reached the top 15 of record charts in numerous countries, including the US, UK, Canada, and Aus... (wikipedia)",billieeilish
Bon Jovi,14800630,https://i.scdn.co/image/ab6761610000e5eb52aade0d2ea19706074da4b9,"Bon Jovi is an American rock band formed in Sayreville, New Jersey in 1983. The band consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarists John Shanks and Phil X, percussionist Everett Bradley, and bassist Hugh McDonald. Original bassist Alec John Such left the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013.
In 1984, Bon Jovi released their self-titled debut album, and its single ""Runaway"" managed to reach the Top 40 of the... (wikipedia)",bonjovi
