Artist Name,Followers,Image URL,bio,key
Bruno Mars,69276127,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer, songwriter, musician, and record producer. Regarded as a pop icon, he is known for his three-octave tenor vocal range, live performances, retro showmanship and musical versatility. He is accompanied by his band, the Hooligans. Raised in Honolulu, Mars gained recognition in Hawaii as a child for his impersonation of Elvis Presley, before moving to Los Angeles in 2003 to pursue a musical career... (wikipedia)",brunomars
Bunga Citra Lestari,3423765,https://i.scdn.co/image/ab6761610000e5eb830d0e856b72be52d994f588,"Bunga Citra Lestari (born 22 March 1983), often referred to by her initial BCL, is an Indonesian singer, actress, talent show judge, and television personality of Minangkabau descent... (wikipedia)",bungacitralestari
Burgerkill,217369,https://i.scdn.co/image/ab6761610000e5eb5ec55d6885bc466915d9ff1f,"Burgerkill is an Indonesian heavy metal band, originally from Bandung, the capital city of West Java. The band is named after the fast food restaurant Burger King as a prank. The band was founded in May 1995 by Aries Tanto a.k.a. Eben, sometimes called 'Ebenz', a young man from Jakarta, who came to Bandung to continue his study. In Bandung, Ebenz met Ivan Scumbag, Kimung and Dadan. This four personnel became the first line-up of Burgerkill. In 2013, the band won Metal Hammer Golden Gods Awards f... (wikipedia)",burgerkill
Camila Cabello,34708797,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9,"Karla Camila Cabello Estrabao (; Latin American Spanish: [ˈkaɾla kaˈmila kaˈβeʝo esˈtɾaβao]; born March 3, 1997) is an American singer and songwriter. She rose to prominence as a member of the pop girl group Fifth Harmony, one of the best-selling girl groups of all time. While in the group, Cabello established herself as a solo artist with collaborative singles ""I Know What You Did Last Summer"" (with Shawn Mendes) and ""Bad Things"" (with Machine Gun Kelly), the latter making number four on the US... (wikipedia)",camilacabello
Charlie Puth,24232594,https://i.scdn.co/image/ab6761610000e5ebd5594e3ae145bbb2c096366d,"Charles Otto Puth Jr. (; born December 2, 1991) is an American singer, songwriter, and record producer. His initial exposure came through the viral success of his song covers uploaded to YouTube. Puth signed with the record label eleveneleven in 2011 after performing on The Ellen DeGeneres Show, during which he contributed songwriting and production work for other artists.
Puth signed to Atlantic Records and Artist Partner Group to release his debut single, ""Marvin Gaye"" (featuring Meghan Traino... (wikipedia)",charlieputh
Christina Aguilera,8831344,https://i.scdn.co/image/ab6761610000e5eb1fb7a2d94b56df1f8a61d779,"Christina María Aguilera ( AG-il-AIR-ə, Spanish: [kɾisˈtina maˈɾi.a aɣiˈleɾa]; born December 18, 1980) is an American singer-songwriter, actress and television personality. Recognized as an influential figure in music and having received widespread public interest, she is noted for her four-octave vocal range extending into the whistle register, artistic reinventions, and incorporating controversial themes into her music. Referred to as the ""Voice of a Generation"", she was also named a Disney Le... (wikipedia)",christinaaguilera
Chrisye,2237372,https://i.scdn.co/image/ab6761610000e5ebde4b65749982d5d0cd10d5e7,"Hajji Chrismansyah Rahadi ([xrisˈmanʃah raˈhadi]; born Christian Rahadi [xristiˈan raˈhadi]; 16 September 1949 – 30 March 2007), better known by his stage name Chrisye ([xəˈriʃə]), was an Indonesian progressive pop singer and songwriter. In 2011, Rolling Stone Indonesia declared him the third-greatest Indonesian musician of all time.
Born in Jakarta of mixed Chinese-Indonesian descent, Chrisye became interested in music at an early age. At high school, he played bass guitar in a band he formed w... (wikipedia)",chrisye
Cinta Laura Kiehl,41574,https://i.scdn.co/image/ab6761610000e5eb8900a39a70211526eefbd7ba,"Cinta Laura Kiehl (Indonesian: [ˈtʃinta ˈlaura] ; German: [ˈtʃiːn'ta 'laʊʁa]; born August 17, 1993) is an Indonesian actress, singer, and model.
Kiehl was appointed ambassador of anti-violence against women and children by the Indonesian Ministry of Women Empowerment and Child Protection in 2019... (wikipedia)",cintalaurakiehl
Cita Citata,288504,https://i.scdn.co/image/ab6761610000e5eb3b4e12d1344587a534a37187,"Cita Rahayu, stage name Cita Citata (born 14 August 1994), is an Indonesian singer and actress. Cita is known for her song ""Sakitnya Tuh Disini"" (The Pain is here in my heart) introduced in the soap opera Diam-Diam Suka: Cinta Lama Bersemi Kembali. The song won an award for ""Most Famous Soap Opera Soundtrack"" at the 2014 SCTV Awards. She has also played a role in soap opera... (wikipedia)",citacitata
Citra Scholastika,181096,https://i.scdn.co/image/ab6761610000e5eb6b80f30ab9610eb08bfa80df,"Skolastika Citra Kirana Wulan (born 5 June 1994), commonly known as Citra Scholastika, is the youngest finalist from the sixth season of Indonesian Idol. She is of Javanese descent. Her father is an employee at PT. Freeport Indonesia while her mother owns a bakery business. Before she managed to become a finalist on Indonesian Idol, Citra Scholastika was eliminated in the workshop round III and came back through the Wild Card. Her interest in singing began at age four when she started singing at... (wikipedia)",citrascholastika
Coldplay,57255875,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,"Coldplay are a British rock band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer and percussionist Will Champion, and manager Phil Harvey. They are best known for their live performances, and their impact on popular culture through their music, advocacy and achievements.
The members of the band initially met at University College London, calling themselves Big Fat Noises and changing to Starfish before the final... (wikipedia)",coldplay
Céline Dion,9601980,https://i.scdn.co/image/ab6761610000e5ebc3b380448158e7b6e5863cde,"Céline Marie Claudette Dion (born 30 March 1968) is a Canadian singer. Referred to as the ""Queen of Power Ballads"", Dion's powerful, technically skilled vocals and commercially successful works have had a significant impact on popular music. 
Born into a large family in Charlemagne, Quebec, Dion was discovered by her future manager and husband, René Angélil, and emerged as a teen star in her home country with a series of French-language albums during the 1980s. She gained international recogniti... (wikipedia)",célinedion
DAY6,3637224,https://i.scdn.co/image/ab6761610000e5eb10e83b0ca558533d0f3c376c,"Day6 (Korean: 데이식스; RR: De-i-sik-seu; stylized in all caps) is a South Korean pop rock band under the label JYP Entertainment. The group debuted on September 7, 2015, with the EP The Day, which peaked at No.2 on Billboard's World Album Chart a week following its release. The band consists of four members: Sungjin, Young K, Wonpil, and Dowoon. Originally a six-member band, Junhyeok departed on February 27, 2016, and Jae departed on December 31, 2021. All of the Day6 members are heavily involved i... (wikipedia)",day6
Demi Lovato,27069516,https://i.scdn.co/image/ab6761610000e5ebe106fea940fcf250f8dd5bfe,"Demetria Devonne ""Demi""  Lovato ( DEM-ee lə-VAH-toh; born August 20, 1992) is an American singer, songwriter, and actress. After appearing on the children's television series Barney & Friends (2002–2004), she starred in the Disney Channel short series As the Bell Rings (2007–2008). Lovato rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010). The former film's soundtrack contained ""This Is Me"", her debut sin... (wikipedia)",demilovato
Dewa 19,9216387,https://i.scdn.co/image/ab6761610000e5eb96bfa9ff288138f3432e0fa4,"Dewa 19 (pronounced in Indonesian as Dewa Sembilan Belas) is an Indonesian rock band from Surabaya, East Java, led by singer-songwriter Ahmad Dhani. Along with God Bless and Slank, they are dubbed as one of the greatest rock bands in the history of Indonesian popular music. The band was formed in 1986. There have been a number of changes to the lineup that ended in their disbandment in 2011, but then they regrouped in 2019 for comeback reunion shows.
The current line-up consists of Ahmad Dhani,... (wikipedia)",dewa19
Didi Kempot,753234,https://i.scdn.co/image/ab6761610000e5eb750be243b57d376efeb32676,"Didi Kempot (born Didik Prasetyo; Javanese: ꦝꦶꦝꦶꦏ꧀ꦥꦿꦱꦼꦠꦾ, Dhidhik Prasetyå; 31 December 1966 – 5 May 2020) was an Indonesian singer and songwriter in the campursari style. He wrote some 700 songs, mainly in his native Javanese language. Apart from Indonesia, Didi was also popular in Suriname and the Netherlands, both of which have significant Javanese diaspora population... (wikipedia)",didikempot
Doechii,2406350,https://i.scdn.co/image/ab6761610000e5ebca2fee52c41d3f58ceb6474b,"Jaylah Ji'mya Hickmon (born August 14, 1998), known professionally as Doechii (), is an American rapper, singer, and songwriter. She first gained attention on TikTok, leading her to sign with Top Dawg Entertainment and Capitol Records in 2022. Her 2023 single ""What It Is (Block Boy)"", which features Kodak Black, became her first entry on the Billboard Hot 100 and received a platinum certification by the Recording Industry Association of America (RIAA). That same year, she made her acting debut w... (wikipedia)",doechii
Doja Cat,32903864,https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97,"Amala Ratna Zandile Dlamini (born October 21, 1995), known professionally as Doja Cat (), is an American rapper, singer, songwriter, and record producer. Born and raised in Los Angeles, California, she began making and releasing music on SoundCloud as a teenager. Her song ""So High"" caught the attention of Kemosabe and RCA Records, with whom she signed a recording contract prior to the release of her debut extended play, Purrr! (2014).
After a hiatus from releasing music and the uneventful rollou... (wikipedia)",dojacat
Drake,96946308,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,Drake may refer to:... (wikipedia),drake
Dua Lipa,45692849,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,"Dua Lipa (  DOO-ə LEE-pə; Albanian: [ˈdua ˈlipa]; born 22 August 1995) is an English and Albanian singer, songwriter and actress. Her accolades include seven Brit Awards and three Grammy Awards.
Lipa worked as a model before venturing into music and signing with Warner Bros. in 2014. She released her eponymous debut album in 2017, which peaked at number three on the UK Albums Chart and spawned the singles ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"". She was honoured with the... (wikipedia)",dualipa
D’MASIV,1870461,https://i.scdn.co/image/ab6761610000e5eb66cb8615c4d0e22d56375ca6,No Wikipedia page found for D’MASIV... (wikipedia),d’masiv
ENHYPEN,11217922,https://i.scdn.co/image/ab6761610000e5eb1ddfd74a1c2dcaa5f833b61d,"Enhypen (Korean: 엔하이픈; RR: Enhaipeun; Japanese: エンハイプン, romanized: Enhaipun; stylized in all caps) is a South Korean boy band formed by Belift Lab. Formerly a joint venture between CJ ENM and Hybe Corporation, the group was formed through the 2020 survival competition show I-Land. The group consists of seven members: Heeseung, Jay, Jake, Sunghoon, Sunoo, Jungwon, and Ni-Ki. They debuted on November 30, 2020, with the extended play (EP) Border: Day One... (wikipedia)",enhypen
EXO,9845440,https://i.scdn.co/image/ab6761610000e5ebaf3c4b988a6fef40843cdc83,"Exo (Korean: 엑소; RR: Ekso; stylized in all caps) is a South Korean-Chinese boy band based in Seoul formed by SM Entertainment in 2011 and debuted in 2012. The group consists of nine members: Xiumin, Suho, Lay, Baekhyun, Chen, Chanyeol, D.O., Kai and Sehun. They are noted for releasing music and performing extensively in Korean, Mandarin and Japanese.
The group debuted with twelve members separated into Exo-K (Suho, Baekhyun, Chanyeol, D.O., Kai and Sehun) and Exo-M (Xiumin, Lay, Chen, Kris, Luha... (wikipedia)",exo
Ebiet G. Ade,925860,https://i.scdn.co/image/ab6761610000e5ebdc931d485c1e01a6d3aafddb,"Haji Abid Ghoffar bin Aboe Dja’far or better known as Ebiet G. Ade (born in Wanadadi, Banjarnegara, Central Java, Indonesia on 21 April 1954) is an Indonesian singer-songwriter and guitarist of Javanese descent... (wikipedia)",ebietg.ade
Ed Sheeran,119530821,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9,"Edward Christopher Sheeran ( SHEER-ən; born 17 February 1991) is an English singer-songwriter. Born in Halifax, West Yorkshire, and raised in Framlingham, Suffolk, he began writing songs around the age of eleven. In early 2011, Sheeran independently released the extended play No. 5 Collaborations Project. He signed with Asylum Records the same year.
Sheeran's debut album, + (""Plus""), was released in September 2011 and topped the UK Albums Chart. It contained his first hit single, ""The A Team"". I... (wikipedia)",edsheeran
Efek Rumah Kaca,806903,https://i.scdn.co/image/ab6761610000e5ebb345ac625dd036d8a8d085cd,"Efek Rumah Kaca (English: Greenhouse Effect) is an Indonesian indie rock band, formed in 2001. The band consists of Cholil Mahmud (lead vocal, guitar), Adrian Yunan Faisal (back vocals, bass, guitar), Airil ""Poppie"" Nur Abadiansyah (back vocals, bass) dan Akbar Bagus Sudibyo (drum, back vocals). They are known for their satirical and thought-provoking lyrics—usually concerning politics or everyday society. They have released three albums, Efek Rumah Kaca (2007), Kamar Gelap (2008), and Sinestesi... (wikipedia)",efekrumahkaca
Ellie Goulding,12942547,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a,"Elena Jane Goulding ( GOHL-ding; born 30 December 1986) is an English singer and songwriter. Born in Hereford and raised in Lyonshall, Goulding began writing songs at the age of 15. She released her debut single ""Under the Sheets"" through Neon Gold Records in 2009, and signed with Polydor Records that same year, releasing her debut extended play (EP) An Introduction to Ellie Goulding. Her debut studio album, Lights (2010), debuted at No. 1 on the UK Albums Chart, and was reissued as Bright Light... (wikipedia)",elliegoulding
Elvis Presley,10425398,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor. Referred to as the ""King of Rock and Roll"", he is regarded as one of the most significant cultural figures of the 20th century. Presley's sexually provocative performance style, combined with a mix of influences across color lines during a transformative era in race relations, brought both great success and initial controversy.
Presley was born in Tupelo, Mississippi; his family relocated to Memphis, Tennes... (wikipedia)",elvispresley
Elvy Sukaesih,128246,https://i.scdn.co/image/ab6761610000e5eb6b5390fb371bfb13c9070bea,Elvy Sukaesih (born 25 June 1951) is an Indonesian  dangdut singer and actress who has been dubbed the Queen of Dangdut. Sukaesih has a significant fan base in other Asian countries such as Japan.  She has been a prolific recording artist since the late 1960s... (wikipedia),elvysukaesih
Endank Soekamti,587352,https://i.scdn.co/image/ab6761610000e5eb869efe8aa865195be1b264fe,No Wikipedia page found for Endank Soekamti... (wikipedia),endanksoekamti
Enrique Iglesias,11522986,https://i.scdn.co/image/ab6761610000e5eb4fa1405802a42c665b0f2dd1,"Enrique Miguel Iglesias Preysler (Spanish pronunciation: [enˈrike miˈɣel iˈɣlesjas ˈpɾejsleɾ]; born 8 May 1975) is a Spanish singer and songwriter. He started his recording career in the mid-1990s on the Mexican label Fonovisa where he released three Spanish albums Enrique Iglesias, Vivir and Cosas del Amor becoming the bestselling Spanish-language act of the decade. By the turn of the millennium, he made a successful crossover into the mainstream English-language market. 
He signed a multi-albu... (wikipedia)",enriqueiglesias
